Month,Day,Hour,Concentration,AQI,Date,Count
3,21,19,55.542410714285715,128.25,2019-03-21 19:00:00,28
3,21,20,50.30818965517241,121.3103448275862,2019-03-21 20:00:00,29
3,21,21,55.223214285714285,126.5,2019-03-21 21:00:00,28
3,21,22,63.89732142857143,135.14285714285714,2019-03-21 22:00:00,28
3,21,23,64.67857142857143,135.57142857142858,2019-03-21 23:00:00,28
3,22,0,68.61160714285714,140.14285714285714,2019-03-22 00:00:00,28
3,22,1,66.75646551724138,137.93103448275863,2019-03-22 01:00:00,29
3,22,2,81.97685185185185,154.1851851851852,2019-03-22 02:00:00,27
3,22,3,84.45416666666667,159.33333333333334,2019-03-22 03:00:00,30
3,22,4,90.7175925925926,164.0,2019-03-22 04:00:00,27
3,22,5,89.34913793103448,162.55172413793105,2019-03-22 05:00:00,29
3,22,6,97.24553571428571,171.0,2019-03-22 06:00:00,28
3,22,7,113.84151785714286,188.60714285714286,2019-03-22 07:00:00,28
3,22,8,117.5625,192.06896551724137,2019-03-22 08:00:00,29
3,22,9,133.95982142857142,204.28571428571428,2019-03-22 09:00:00,28
3,22,10,139.59598214285714,209.75,2019-03-22 10:00:00,28
3,22,11,134.78348214285714,204.64285714285714,2019-03-22 11:00:00,28
3,22,12,141.45982142857142,208.25,2019-03-22 12:00:00,28
3,22,13,150.265625,214.39285714285714,2019-03-22 13:00:00,28
3,22,14,186.36853448275863,246.31034482758622,2019-03-22 14:00:00,29
3,22,15,203.29910714285714,259.82142857142856,2019-03-22 15:00:00,28
3,22,16,197.43973214285714,257.10714285714283,2019-03-22 16:00:00,28
3,22,17,178.5969827586207,240.27586206896552,2019-03-22 17:00:00,29
3,22,18,180.77777777777777,242.11111111111111,2019-03-22 18:00:00,27
3,22,19,165.83482142857142,229.60714285714286,2019-03-22 19:00:00,28
3,22,20,166.77370689655172,228.75862068965517,2019-03-22 20:00:00,29
3,22,21,157.75892857142858,222.5,2019-03-22 21:00:00,28
3,22,22,172.7801724137931,233.89655172413794,2019-03-22 22:00:00,29
